SUBSTATION_NUMBER,TRANSFORMER_TYPE,TOTAL_CUSTOMERS,Transformer_RATING,Percentage_IC,LV_FEEDER_COUNT,GRID_REFERENCE
532770,Pole Mtd Dist. Substation,3,15,0,1,SO258500082000
532771,Pole Mtd Dist. Substation,8,100,0,1,SO256300081200
532775,Grd Mtd Dist. Substation,159,315,0.027122724,4,SO261300085600
532776,Grd Mtd Dist. Substation,147,500,0.33342608,4,SO259200089300
532777,Grd Mtd Dist. Substation,231,500,0.18318444,3,SO258300091000
532778,Grd Mtd Dist. Substation,263,500,0.028855532,5,SO257800086500
532779,Grd Mtd Dist. Substation,213,315,0.024892787,4,SO255900085500
532780,Grd Mtd Dist. Substation,216,500,0.125300244,4,SO255300088700
532781,Grd Mtd Dist. Substation,229,500,0.173487029,4,SO252300095100
532782,Grd Mtd Dist. Substation,324,800,0.650545054,6,SO251600087000
532784,Grd Mtd Dist. Substation,194,500,0.03713768,4,SO244300085700
532787,Pole Mtd Dist. Substation,4,50,1,1,SO262800106200
532788,Pole Mtd Dist. Substation,1,50,1,1,SO255600098100
532791,Pole Mtd Dist. Substation,73,100,0,2,SO249300086000
532798,Pole Mtd Dist. Substation,36,200,0.027596112,1,SO234729101791
532803,Pole Mtd Dist. Substation,169,200,0.018790094,2,SO253100092900
532804,Grd Mtd Dist. Substation,249,500,0.181119272,4,SO251200091000
535387,Pole Mtd Dist. Substation,1,50,0,1,SO346500073200
535397,Pole Mtd Dist. Substation,1,4.5,0,1,SO354000081500
535400,Pole Mtd Dist. Substation,3,15,1,1,SO366900038300
535409,Pole Mtd Dist. Substation,13,50,0.073637992,1,SO368000032400
535433,Grd Mtd Dist. Substation,72,300,0.157247266,3,ST372000967400
535445,Grd Mtd Dist. Substation,69,300,0,3,ST369800965800
535472,Pole Mtd Dist. Substation,1,100,1,1,SO363800018700
535477,Pole Mtd Dist. Substation,1,5,0,1,SO360300022400
535478,Pole Mtd Dist. Substation,3,200,0,1,SO354600024100
535512,Pole Mtd Dist. Substation,1,15,0,1,SO327200014300
535517,Pole Mtd Dist. Substation,1,16,0,1,SO320800007800
535674,Pole Mtd Dist. Substation,1,5,1,1,SO377000067800
535679,Pole Mtd Dist. Substation,1,5,0,1,SO373700080500
535711,Pole Mtd Dist. Substation,1,16,1,1,SO393700016000
535718,Pole Mtd Dist. Substation,3,25,0.23526616,1,SO374100018800
535786,Grd Mtd Dist. Substation,147,500,0.597774157,5,SO411300075900
535797,Pole Mtd Dist. Substation,1,5,0,1,SO405600081800
535830,Pole Mtd Dist. Substation,3,16,0,1,SO400700097500
535841,Pole Mtd Dist. Substation,1,16,0,1,SO371900020700
535862,Pole Mtd Dist. Substation,2,50,0,1,ST459100937500
535875,Pole Mtd Dist. Substation,1,5,0,1,ST446100946900
535940,Pole Mtd Dist. Substation,2,16,0,1,ST401600969300
535942,Pole Mtd Dist. Substation,1,15,0,1,ST396800970700
536000,Pole Mtd Dist. Substation,1,16,1,1,SO335800045700
536033,Pole Mtd Dist. Substation,1,16,0,1,ST390700942400
536059,Pole Mtd Dist. Substation,1,16,0,1,ST355700938500
536077,Pole Mtd Dist. Substation,2,16,0.283533765,1,SO365200012800
536079,Pole Mtd Dist. Substation,5,200,0.783754612,1,SO364000020600
536081,Pole Mtd Dist. Substation,3,100,0.0002552,1,SO362800005500
536178,Pole Mtd Dist. Substation,1,5,0,1,SO351500078100
536388,Grd Mtd Dist. Substation,132,315,0.094897585,3,SO283100012200
536739,Grd Mtd Dist. Substation,235,315,0,4,SO295000003000
536740,Grd Mtd Dist. Substation,4,500,0.999044362,2,SO292600001100
536741,Grd Mtd Dist. Substation,40,200,0.854894267,3,SO292000002200
536742,Grd Mtd Dist. Substation,125,315,0.068955512,2,SO286600012600
536744,Grd Mtd Dist. Substation,155,500,0.593640241,5,SO284600006400
536749,Grd Mtd Dist. Substation,2,315,1,3,ST295100997800
536752,Grd Mtd Dist. Substation,50,500,0.833443359,3,SO282900010400
